City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
565,Ayan,56.45,138.1667,23.47,50,2,15.86,clear sky
566,Berlevag,70.8578,29.0864,38.46,78,84,6.51,broken clouds
567,La Libertad,-2.2333,-80.9,74.86,69,40,11.5,scattered clouds
568,Broken Hill,-31.95,141.4333,53.51,32,86,5.68,overcast clouds
569,San Angelo,31.4638,-100.437,76.64,36,1,10.0,clear sky
570,Sola,-13.8833,167.55,80.8,70,2,17.16,clear sky
571,Rockhampton,-23.3833,150.5,73.29,88,43,0.0,scattered clouds
572,Kenora,49.8167,-94.4337,44.58,93,90,8.05,overcast clouds
573,Tarko-Sale,64.9225,77.785,14.68,92,100,18.39,overcast clouds
574,Gannan,47.9147,123.5031,28.83,44,80,11.18,broken clouds
575,Yudong,29.385,106.5194,65.5,96,100,0.72,moderate rain
576,Pak Phanang,8.3511,100.202,82.08,81,97,3.27,overcast clouds
577,Prachuap Khiri Khan,12.2167,99.75,72.3,96,100,3.53,overcast clouds
578,Biak,-0.9131,122.8766,76.19,85,70,2.37,broken clouds
579,Mitry-Mory,48.9833,2.6167,56.16,91,75,11.5,broken clouds
580,Baruun-Urt,46.6806,113.2792,22.95,39,85,3.27,overcast clouds
581,Praia Da Vitoria,38.7333,-27.0667,72.75,88,99,14.41,overcast clouds
582,Severobaykalsk,55.65,109.3167,22.35,76,97,4.88,overcast clouds
583,Hobyo,5.3505,48.5268,81.18,69,19,14.65,few clouds
584,Srandakan,-7.9386,110.2506,78.08,90,100,3.47,overcast clouds
585,Lusambo,-4.9667,23.45,76.39,76,95,1.86,overcast clouds
586,Resistencia,-27.4606,-58.9839,95.09,63,85,4.68,light rain
587,Ambanja,-13.6833,48.45,75.47,78,1,0.4,clear sky
588,Amazar,53.858,120.875,21.06,60,18,2.08,few clouds
589,Aswan,24.0934,32.907,90.84,21,89,9.17,overcast clouds
590,Betioky,-23.7167,44.3833,72.25,53,97,4.88,overcast clouds
591,Requena,39.4883,-1.1004,67.51,82,100,21.77,overcast clouds
592,Ilek,51.5271,53.3831,42.93,72,95,11.05,overcast clouds
593,Katangli,51.7102,143.2326,30.81,78,100,16.33,overcast clouds
594,Moorhead,46.8739,-96.7676,46.36,78,90,18.41,overcast clouds
595,Alekseyevka,50.6309,38.6903,45.41,68,4,3.09,clear sky
596,Sovetskiy,61.3614,63.5842,17.56,98,89,3.65,overcast clouds
597,At-Bashi,41.1702,75.8106,26.65,52,2,4.38,clear sky
598,Progreso,21.2833,-89.6667,83.1,50,10,11.48,clear sky
599,Trojan,53.7897,20.2404,52.68,52,0,10.78,clear sky
600,Nueva Gerona,21.8833,-82.8,82.22,53,85,15.64,overcast clouds
601,Turmalina,-17.2856,-42.73,83.86,41,79,7.74,broken clouds
602,Ler,8.3018,30.1418,76.8,78,95,6.33,light rain
603,Galveston,29.3669,-94.9669,72.09,39,1,1.99,clear sky
604,Manakara,-22.1333,48.0167,70.16,83,72,6.44,broken clouds
605,Porvoo,60.3923,25.6651,48.09,89,74,8.63,broken clouds
606,Chernyshevskiy,63.0128,112.4714,25.11,96,100,7.87,light snow
607,Nouadhibou,20.931,-17.0347,68.36,82,5,19.46,clear sky
608,Prince Rupert,54.3161,-130.3201,40.12,69,100,4.52,overcast clouds
609,Araioses,-2.89,-41.9031,89.58,66,40,14.97,scattered clouds
610,Cururupu,-1.8283,-44.8683,84.16,70,38,4.88,scattered clouds
611,Port Hueneme,34.1478,-119.1951,79.43,91,90,4.61,mist
612,Lorengau,-2.0226,147.2712,82.11,78,91,6.46,overcast clouds
613,Mysliborz,52.9238,14.8679,52.86,59,83,7.72,broken clouds
614,Santa Isabel,-23.3156,-46.2214,80.37,67,95,5.84,overcast clouds
615,Shimsk,58.212,30.7127,49.1,85,23,9.4,few clouds
616,Iwanai,42.9744,140.5089,43.95,82,95,4.0,overcast clouds
617,Kanye,-24.9667,25.3327,72.84,15,0,8.7,clear sky
618,Dimitrovgrad,54.2139,49.6184,49.19,82,95,8.1,overcast clouds
619,Altamira,-3.2033,-52.2064,93.4,44,86,3.2,overcast clouds
620,Lahaina,20.8783,-156.6825,73.81,88,0,3.6,clear sky
621,Poronaysk,49.2167,143.1167,38.93,85,100,9.75,overcast clouds
622,Sao Joao Da Barra,-21.6403,-41.0511,75.29,80,100,14.79,overcast clouds
623,Cuencame,24.8711,-103.6964,71.76,19,0,0.85,clear sky
624,Kuandian,40.7286,124.7847,50.74,86,100,1.66,overcast clouds
625,Meulaboh,4.1363,96.1285,76.46,87,95,3.15,light rain
626,Kavaratti,10.5669,72.642,82.26,69,98,0.87,overcast clouds
627,Rincon De La Victoria,36.7172,-4.2758,76.24,70,95,8.72,overcast clouds
628,Awjilah,29.1081,21.2869,74.75,31,5,6.87,clear sky
629,Mayo,38.8876,-76.5119,64.38,77,40,5.99,scattered clouds
630,Timizart,36.8,4.2667,68.29,45,100,1.25,overcast clouds
631,Olinda,-8.0089,-34.8553,83.93,61,40,14.97,scattered clouds
632,Takestan,36.0696,49.6959,52.43,77,82,9.57,broken clouds
633,Buta,2.7858,24.73,71.04,94,79,0.45,light rain
634,Niamey,13.5137,2.1098,97.79,10,55,10.29,broken clouds
635,Izhevskoye,54.5567,40.8703,47.41,90,15,9.71,few clouds
636,Chiredzi,-21.05,31.6667,85.33,29,2,6.64,clear sky
637,Sur,22.5667,59.5289,81.46,60,22,10.11,few clouds
638,Bridgend,51.5058,-3.5772,54.41,86,53,5.01,broken clouds
639,Verkhnetulomskiy,68.6073,31.7962,23.13,93,100,1.9,overcast clouds
640,Elk,53.8282,22.3647,51.94,67,2,13.04,clear sky
641,Teya,60.3778,92.6267,19.33,81,100,12.17,overcast clouds
642,Sioux Lookout,50.1001,-91.917,46.92,62,100,9.66,overcast clouds
643,Asosa,10.0667,34.5333,60.67,84,75,5.59,light rain
